1	1600607	27	4	35	35
2	2209565	181	38	197	197
2	2209566	41	4	39	39
2	2209567	162	22	182	182
3	2213564	48	12	57	57
4	2319691	33	5	34	34
4	2319692	0	0	1	1
5	3217163	37	13	60	60
5	3217164	3	1	5	5
6	3217195	8	4	13	13
6	3217196	0	0	1	1
7	3217521	2	4	4	4
8	3707715	45	6	45	45
8	3707716	3	1	1	1
9	4030580	38	6	34	34
9	4030581	0	0	1	1
9	4030584	22	12	31	31
10	4229719	114	16	96	96
11	4493711	0	0	2	2
12	4961693	0	0	4	4
14	6291944	0	0	8	8
15	6396238	0	0	4	4
16	7048990	57	17	62	62
17	7081901	155	44	140	140
114	778713	18	8	25	25
114	778714	0	0	3	3
115	2313354	57	14	57	57
278	170953	0	1	2	2
278	170954	0	0	1	1
280	431557	5	1	5	5
281	71612	18	16	24	24
118	172624	84	28	102	102
118	172625	0	0	6	6
119	304740	10	7	16	16
120	1278538	23	13	23	23
121	1964960	17	18	56	56
121	1964962	41	4	70	70
121	1964963	0	0	1	1
122	2032981	21	10	42	42
282	375407	0	0	1	1
284	355651	48	2	44	44
285	397492	17	1	10	10
288	184485	15	5	23	23
127	1721783	42	4	44	44
127	1721784	34	5	27	27
291	327125	4	2	1	1
291	327127	0	0	1	1
293	227733	20	11	28	28
130	485100	5	1	5	5
135	623025	250	17	190	190
135	623026	39	13	43	43
131	1089702	24	5	23	23
132	1778561	67	13	59	59
132	1778562	167	63	164	164
133	2059336	136	30	119	119
133	2059337	0	0	5	5
294	149717	62	13	61	61
298	290903	26	19	26	26
141	2211333	17	1	43	43
147	740509	96	9	108	108
147	740510	0	0	4	4
148	1107854	24	2	31	31
149	1574301	0	0	2	2
149	1574302	10	3	10	10
301	209290	29	12	29	29
301	209291	9	3	11	11
302	223155	109	15	113	113
302	223157	26	7	21	21
151	131295	146	12	119	119
158	343075	60	14	73	73
152	985917	23	6	29	29
152	985918	0	0	6	6
153	1031502	24	3	20	20
154	1160155	47	4	47	47
154	1160156	33	8	45	45
156	1879747	111	26	106	106
156	1879748	0	0	1	1
157	2039847	19	4	28	28
157	2039848	0	0	2	2
157	2039849	13	2	15	15
157	2039850	0	0	1	1
306	221522	31	3	42	42
161	666065	15	4	17	17
162	1637707	9	4	7	7
162	1637709	0	0	3	3
162	1637711	0	0	1	1
162	1637714	0	0	6	6
162	1637716	0	0	4	4
162	1637718	0	0	1	1
162	1637722	0	0	3	3
162	1637724	0	0	3	3
162	1637725	0	0	2	2
162	1637726	13	1	15	15
162	1637728	18	3	25	25
162	1637729	0	0	3	3
163	1607863	0	0	8	8
22	1712102	2	3	4	4
23	2078270	25	7	27	27
24	2951361	18	4	18	18
24	2951362	0	0	2	2
25	3386111	16	1	17	17
25	3386112	0	0	1	1
26	3765658	57	5	61	61
26	3765659	9	1	15	15
26	3765660	0	0	1	1
26	3765661	96	10	88	88
27	4571808	0	1	6	6
28	4802602	6	4	9	9
